Tiempo(ms),Costo
0.0902,990
0.1698,890
0.1836,860
0.1941,830
0.2185,800
0.2308,770
0.2564,740
0.2753,720
0.2945,690
0.313,670
0.3261,650
0.3359,620
0.3553,610
0.3717,590
0.4044,570
0.417,540
0.463,530
0.4757,510
0.5026,480
0.6465,460
0.7784,450
0.7965,420
0.8855,400
0.9829,380
0.9934,350
1.1618,340
1.2127,330
1.2249,310
1.6662,280
1.8273,270
1.875,260
1.8873,240
2.9183,220
3.1099,200
5.4451,190
6.9103,180
8.0218,170
