Tiempo(ms),Costo
0.0661,990
0.1455,890
0.1588,860
0.1684,760
0.1773,670
0.1858,610
0.1942,600
0.2024,540
0.2106,530
0.2192,520
0.2319,460
0.2588,400
0.3064,340
0.3213,330
0.331,270
0.3395,240
0.3507,220
0.3622,210
0.3718,180
0.4029,170
