Tiempo(ms),Costo
0.0658,990
0.1418,890
0.1554,860
0.1656,830
0.1743,800
0.1826,770
0.1952,740
0.2138,720
0.2245,690
0.2571,670
0.2891,650
0.3041,620
0.3254,610
0.3399,590
0.3719,570
0.3838,540
0.4347,530
0.4494,510
0.4589,480
0.5628,460
0.6652,450
0.6743,420
0.7721,400
0.8771,380
0.8861,350
1.0762,340
1.1319,330
1.1442,310
1.6497,280
1.8331,270
1.8866,260
1.8986,240
3.1088,220
3.3316,200
6.0224,190
8.0813,180
9.3776,170
